,link,title,year,country,genre,rating,director,director_bio,birthday,death
10,https://www.ivi.ru//watch/krasotka,Красотка,2013,Россия,Мелодрамы,7.4,Дмитрий Петрунь,"{'id': 1616688, 'name': 'Дмитрий Петрунь', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/bbfaec7a-0aa2-4e0d-a6f2-93274423a058/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1975-08-16T00:00:00.000Z', 'death': '', 'age': 49}",1975-08-16,
11,https://www.ivi.ru//watch/zyat,Зять,2024,Россия,Комедии,7.4,Анарио Мамедов,"{'id': 1617459, 'name': 'Анарио Мамедов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/47ffcc4f-8b00-4335-8a2c-bfa02f6f4478/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1978-02-19T00:00:00.000Z', 'death': '', 'age': 46}",1978-02-19,
12,https://www.ivi.ru//watch/227695,Спасите Колю!,2021,Россия,Комедии,7.3,Дмитрий Губарев,"{'id': 4354004, 'name': 'Дмитрий Губарев', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/81a13a24-db5d-41d0-bcf3-1c7e11366a50/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1971-05-30T00:00:00.000Z', 'death': '', 'age': 53}",1971-05-30,
13,https://www.ivi.ru//watch/ispyitanie-aulom,Испытание аулом,2023,Россия,Комедии,8.6,Ислам Сатыров,"{'id': 6866902, 'name': 'Ислам Сатыров', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10900341/4dbd8739-b941-4d26-92ba-219ce3f98841/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
14,https://www.ivi.ru//watch/436114,Булки,2022,Россия,Комедии,7.3,Олег Асадулин,"{'id': 751571, 'name': 'Олег Асадулин', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/4343eb39-d3a3-48f2-a1ab-27cf168ea533/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1971-10-05T00:00:00.000Z', 'death': '', 'age': 53}",1971-10-05,
15,https://www.ivi.ru//watch/415769,Тень звезды,2020,Россия,Драмы,6.9,Дмитрий Губарев,"{'id': 4354004, 'name': 'Дмитрий Губарев', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/81a13a24-db5d-41d0-bcf3-1c7e11366a50/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1971-05-30T00:00:00.000Z', 'death': '', 'age': 53}",1971-05-30,
16,https://www.ivi.ru//watch/470954,Любовники,2022,Россия,Комедии,7.3,Елена Хазанова,"{'id': 4105058, 'name': 'Елена Хазанова', 'enName': '', 'photo': '', 'sex': 'Женский', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
17,https://www.ivi.ru//watch/436466,Трое,2020,Россия,Драмы,6.6,Анна Меликян,"{'id': 251015, 'name': 'Анна Меликян', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/e44330c1-a78b-4506-b80c-3e0d08eab021/orig', 'sex': 'Женский', 'growth': 0, 'birthday': '1976-02-08T00:00:00.000Z', 'death': '', 'age': 48}",1976-02-08,
18,https://www.ivi.ru//watch/400954,Красавец и чудовище,2014,Россия,Мелодрамы,7.7,Иван Криворучко,"{'id': 1746905, 'name': 'Иван Криворучко', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/644d5d3d-5c03-4111-80f1-600091640209/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
19,https://www.ivi.ru//watch/459158,Приказ «Уничтожить»,2019,Россия,Военные,7.3,Константин Статский,"{'id': 1737878, 'name': 'Константин Статский', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/50ed5737-1d27-4fca-b34d-9875fc3f55e8/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1978-05-29T00:00:00.000Z', 'death': '', 'age': 46}",1978-05-29,
20,https://www.ivi.ru//watch/414380,"Мама, я женюсь!",2014,Россия,Мелодрамы,6.7,Петр Степин,"{'id': 233626, 'name': 'Петр Степин', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/06e4e7a8-657b-41be-9786-4df3cd9fdbf9/orig', 'sex': 'Мужской', 'growth': 188, 'birthday': '1969-04-10T00:00:00.000Z', 'death': '', 'age': 55}",1969-04-10,
21,https://www.ivi.ru//watch/133299,Ледокол,2016,Россия,Катастрофы,8.0,Николай Хомерики,"{'id': 868523, 'name': 'Николай Хомерики', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/a114fbcd-6ae4-4ae9-9ebe-1c94a8085bff/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1975-04-17T00:00:00.000Z', 'death': '', 'age': 49}",1975-04-17,
22,https://www.ivi.ru//watch/487282,Моя ужасная сестра,2022,Россия,Комедии,7.9,Александр Галибин,"{'id': 2725340, 'name': 'Александр Галибин', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
23,https://www.ivi.ru//watch/207342,Любовницы,2019,Россия,Комедии,7.2,Елена Хазанова,"{'id': 4105058, 'name': 'Елена Хазанова', 'enName': '', 'photo': '', 'sex': 'Женский', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
24,https://www.ivi.ru//watch/467529,Умная Маша,2022,Россия,Комедии,7.3,Андрей Никифоров,"{'id': 4545235, 'name': 'Андрей Никифоров', 'enName': '', 'photo': 'https:https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/1cc45cb9-9636-44f7-b058-06d03c05efba/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1986-02-28T00:00:00.000Z', 'death': '', 'age': 38}",1986-02-28,
25,https://www.ivi.ru//watch/433499,Артек. Большое путешествие,2022,Россия,Комедии,8.5,Карен Захаров,"{'id': 1557058, 'name': 'Карен Захаров', 'enName': '', 'photo': 'https:https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/bad0eb81-f4ea-4f73-8821-010e6e37cf44/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1976-06-21T00:00:00.000Z', 'death': '', 'age': 48}",1976-06-21,
26,https://www.ivi.ru//watch/melodiya-na-dva-golosa,Мелодия на два голоса,2015,Россия,Мелодрамы,7.4,Сергей Мезенцев,"{'id': 2764996, 'name': 'Сергей Мезенцев', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/fc03edd2-bac1-4c29-bfd6-25f91209e500/orig', 'sex': 'Мужской', 'growth': 194, 'birthday': '1982-11-14T00:00:00.000Z', 'death': '', 'age': 42}",1982-11-14,
27,https://www.ivi.ru//watch/t-34-televersiya,Т-34. Полная версия,2020,Россия,Военные,8.7,Алексей Сидоров,"{'id': 2547862, 'name': 'Алексей Сидоров', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
28,https://www.ivi.ru//watch/214951,Бабушка легкого поведения 2,2019,Россия,Комедии,7.9,Марюс Вайсберг,"{'id': 42472, 'name': 'Марюс Вайсберг', 'enName': '', 'photo': 'https:https://avatars.mds.yandex.net/get-kinopoisk-image/4483445/6c8ba565-40d4-4c10-a156-2dc5814d4702/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1971-04-01T00:00:00.000Z', 'death': '', 'age': 53}",1971-04-01,
29,https://www.ivi.ru//watch/431605,Прабабушка легкого поведения,2021,Россия,Комедии,7.0,Марюс Вайсберг,"{'id': 42472, 'name': 'Марюс Вайсберг', 'enName': '', 'photo': 'https:https://avatars.mds.yandex.net/get-kinopoisk-image/4483445/6c8ba565-40d4-4c10-a156-2dc5814d4702/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1971-04-01T00:00:00.000Z', 'death': '', 'age': 53}",1971-04-01,
30,https://www.ivi.ru//watch/508527,Я хочу! Я буду!,2023,Россия,Комедии,7.5,Павел Воронин,"{'id': 2857155, 'name': 'Павел Воронин', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/58d56f42-24aa-437e-8753-9e3db5a0ffc5/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
31,https://www.ivi.ru//watch/523161,Моя ужасная сестра 2,2023,Россия,Комедии,7.9,Александр Галибин,"{'id': 2725340, 'name': 'Александр Галибин', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
32,https://www.ivi.ru//watch/138664,Вечная сказка,2013,Россия,Мелодрамы,7.5,Станислав Либин,"{'id': 566914, 'name': 'Станислав Либин', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/a5404a8c-010b-476f-9fe5-553081e6dbe0/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1972-08-19T00:00:00.000Z', 'death': '', 'age': 52}",1972-08-19,
33,https://www.ivi.ru//watch/126975,Дорога на Берлин,2015,Россия,Военные,7.4,Сергей Попов,"{'id': 7198209, 'name': 'Сергей Попов', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
34,https://www.ivi.ru//watch/475772,Друг на продажу,2021,Россия,Комедии,7.6,Александр Данилов,"{'id': 2367621, 'name': 'Александр Данилов', 'enName': '', 'photo': '', 'sex': '', 'growth': 0, 'birthday': '1961-04-09T00:00:00.000Z', 'death': '', 'age': 63}",1961-04-09,
35,https://www.ivi.ru//watch/operatsiya-holodno,Операция «Холодно»,2024,Россия,Комедии,4.7,Данил Иванов,"{'id': 7097232, 'name': 'Данил Иванов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/eb3a641c-1151-4537-95c4-575e0963cead/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1991-12-20T00:00:00.000Z', 'death': '', 'age': 33}",1991-12-20,
36,https://www.ivi.ru//watch/odna-doma-velikolepnaya-pyaterka,Одна дома: Великолепная пятерка,2024,Россия,Комедии,8.1,Руслан Паушу,"{'id': 2896147, 'name': 'Руслан Паушу', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/c3f6a878-6d10-46ef-82f4-735a225952fd/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1977-04-18T00:00:00.000Z', 'death': '', 'age': 47}",1977-04-18,
37,https://www.ivi.ru//watch/191279,Злая шутка,2016,Россия,Мелодрамы,7.1,Сергей Швыдкой,"{'id': 269702, 'name': 'Сергей Швыдкой', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/22487d02-95a3-4548-91a5-9411bfc4c73c/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1974-01-17T00:00:00.000Z', 'death': '', 'age': 51}",1974-01-17,
38,https://www.ivi.ru//watch/146639,Землетрясение,2016,Россия,Катастрофы,8.5,Сарик Андреасян,"{'id': 1627871, 'name': 'Сарик Андреасян', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/5feb3942-ae37-4a4b-a90d-29468bb0d846/orig', 'sex': 'Мужской', 'growth': 174, 'birthday': '1984-08-24T00:00:00.000Z', 'death': '', 'age': 40}",1984-08-24,
39,https://www.ivi.ru//watch/475179,Маруся фореva!,2020,Россия,Комедии,8.3,Александр Галибин,"{'id': 2725340, 'name': 'Александр Галибин', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
40,https://www.ivi.ru//watch/lyubov-zla,Любовь зла,2024,Россия,Комедии,7.8,Денис Гуляр,"{'id': 3364025, 'name': 'Денис Гуляр', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/1fa0d410-9561-416a-b113-ae432cc417bf/orig', 'sex': 'Мужской', 'growth': 194, 'birthday': '1992-06-18T00:00:00.000Z', 'death': '', 'age': 32}",1992-06-18,
41,https://www.ivi.ru//watch/214284,Семь ужинов,2019,Россия,Комедии,7.5,Кирилл Плетнёв,"{'id': 677662, 'name': 'Кирилл Плетнёв', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/f0ca051d-514a-469a-ab8c-2107e0639640/orig', 'sex': 'Мужской', 'growth': 176, 'birthday': '1979-12-30T00:00:00.000Z', 'death': '', 'age': 45}",1979-12-30,
42,https://www.ivi.ru//watch/279187,Дорогой папа,2019,Россия,Комедии,7.5,Михаил Расходников,"{'id': 2790342, 'name': 'Михаил Расходников', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/944ec361-3606-4391-9d20-48dbd08ae22e/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1982-06-27T00:00:00.000Z', 'death': '', 'age': 42}",1982-06-27,
43,https://www.ivi.ru//watch/poka-zhivu-lyublyu,"Пока живу, люблю",2013,Россия,Мелодрамы,7.5,Эдуард Пальмов,"{'id': 1677664, 'name': 'Эдуард Пальмов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/bdaca8a4-79c1-4b76-a4fb-c9a92177309b/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1968-05-15T00:00:00.000Z', 'death': '', 'age': 56}",1968-05-15,
44,https://www.ivi.ru//watch/99866,Белое платье,2010,Россия,Мелодрамы,6.8,Андрей Селиванов,"{'id': 6917833, 'name': 'Андрей Селиванов', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
45,https://www.ivi.ru//watch/170872,Т-34,2019,Россия,Военные,8.5,Алексей Сидоров,"{'id': 2547862, 'name': 'Алексей Сидоров', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
46,https://www.ivi.ru//watch/522275,Пять процентов,2023,Россия,Комедии,6.0,Дмитрий Светозаров,"{'id': 251031, 'name': 'Дмитрий Светозаров', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/940900ff-6903-4110-b113-4bd61927c8d8/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1951-10-10T00:00:00.000Z', 'death': '', 'age': 73}",1951-10-10,
47,https://www.ivi.ru//watch/471552,Семейный бюджет,2021,Россия,Комедии,7.3,Евгений Абызов,"{'id': 2629182, 'name': 'Евгений Абызов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/6c407067-2b66-41d6-811d-f4056bb488be/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
48,https://www.ivi.ru//watch/99868,Карусель,2010,Россия,Мелодрамы,8.1,Сергей Мезенцев,"{'id': 2764996, 'name': 'Сергей Мезенцев', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/fc03edd2-bac1-4c29-bfd6-25f91209e500/orig', 'sex': 'Мужской', 'growth': 194, 'birthday': '1982-11-14T00:00:00.000Z', 'death': '', 'age': 42}",1982-11-14,
49,https://www.ivi.ru//watch/vstretimsya-vchera,Встретимся вчера,2024,Россия,Комедии,7.2,Александр Богуславский,"{'id': 3097324, 'name': 'Александр Богуславский', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/d1ee1d41-9332-4981-926b-5956f740ad7d/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1989-02-09T00:00:00.000Z', 'death': '', 'age': 35}",1989-02-09,
50,https://www.ivi.ru//watch/520285,Случайные знакомые,2012,Россия,Мелодрамы,7.5,Вера Глаголева,"{'id': 162622, 'name': 'Вера Глаголева', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/070ac8d8-0d23-4003-9f0c-222b15b8db2c/orig', 'sex': 'Женский', 'growth': 163, 'birthday': '1956-01-31T00:00:00.000Z', 'death': '2017-08-16T00:00:00.000Z', 'age': 61}",1956-01-31,2017-08-16
51,https://www.ivi.ru//watch/462881,Проклятый чиновник,2021,Россия,Комедии,7.5,Сарик Андреасян,"{'id': 1627871, 'name': 'Сарик Андреасян', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/5feb3942-ae37-4a4b-a90d-29468bb0d846/orig', 'sex': 'Мужской', 'growth': 174, 'birthday': '1984-08-24T00:00:00.000Z', 'death': '', 'age': 40}",1984-08-24,
52,https://www.ivi.ru//watch/v-banyu,В баню!,2024,Россия,Комедии,7.2,Данил Иванов,"{'id': 7097232, 'name': 'Данил Иванов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/eb3a641c-1151-4537-95c4-575e0963cead/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1991-12-20T00:00:00.000Z', 'death': '', 'age': 33}",1991-12-20,
53,https://www.ivi.ru//watch/138658,Время собирать,2014,Россия,Мелодрамы,7.3,Владимир Устюгов,"{'id': 1557538, 'name': 'Владимир Устюгов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/4bd13a8b-4f76-412e-96df-0cc9558cb2ca/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1978-10-17T00:00:00.000Z', 'death': '', 'age': 46}",1978-10-17,
54,https://www.ivi.ru//watch/odna-doma,Одна дома,2023,Россия,Комедии,8.1,Анарио Мамедов,"{'id': 1617459, 'name': 'Анарио Мамедов', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/47ffcc4f-8b00-4335-8a2c-bfa02f6f4478/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1978-02-19T00:00:00.000Z', 'death': '', 'age': 46}",1978-02-19,
55,https://www.ivi.ru//watch/513761,Новогодний шеф,2023,Россия,Комедии,8.3,Василий Ровенский,"{'id': 2954246, 'name': 'Василий Ровенский', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/5ae6bbe7-d84d-477f-a26e-e8c2bbad676b/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1971-04-21T00:00:00.000Z', 'death': '', 'age': 53}",1971-04-21,
56,https://www.ivi.ru//watch/409370,"Гудбай, Америка",2020,Россия,Драмы,8.1,Сарик Андреасян,"{'id': 1627871, 'name': 'Сарик Андреасян', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/5feb3942-ae37-4a4b-a90d-29468bb0d846/orig', 'sex': 'Мужской', 'growth': 174, 'birthday': '1984-08-24T00:00:00.000Z', 'death': '', 'age': 40}",1984-08-24,
57,https://www.ivi.ru//watch/passazhiryi-2024,Пассажиры,2024,Россия,Боевики,7.1,Камиль Алиев,"{'id': 6867086, 'name': 'Камиль Алиев', 'enName': 'Kamil Aliev', 'photo': 'https:https://avatars.mds.yandex.net/get-kinopoisk-image/10812607/d998c225-304e-4a10-b812-bec56a917e13/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
58,https://www.ivi.ru//watch/191429,За чужие грехи,2015,Россия,Мелодрамы,6.6,Сергей Борчуков,"{'id': 1078942, 'name': 'Сергей Борчуков', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/f3c37e4a-6ec7-4a95-b905-ef4027aa7cac/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1961-11-07T00:00:00.000Z', 'death': '', 'age': 63}",1961-11-07,
59,https://www.ivi.ru//watch/97808,О чем молчат девушки,2013,Россия,Комедии,6.9,Карен Оганесян,"{'id': 2908243, 'name': 'Карен Оганесян', 'enName': 'Karen Hovhannisyan', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
60,https://www.ivi.ru//watch/133408,Маша,2012,Россия,Мелодрамы,7.0,Алексей Праздников,"{'id': 1764026, 'name': 'Алексей Праздников', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/2880104c-4e42-4e3b-ad29-046a31835963/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1963-07-20T00:00:00.000Z', 'death': '', 'age': 61}",1963-07-20,
61,https://www.ivi.ru//watch/191502,Однажды и навсегда,2013,Россия,Мелодрамы,6.6,Артем Насыбулин,"{'id': 1705584, 'name': 'Артем Насыбулин', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/8c8ba284-bd18-4fbc-a8e5-a3b3a83696ce/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1977-09-04T00:00:00.000Z', 'death': '', 'age': 47}",1977-09-04,
62,https://www.ivi.ru//watch/145339,В плену обмана,2014,Россия,Мелодрамы,7.3,Сергей Краснов,"{'id': 1557685, 'name': 'Сергей Краснов', 'enName': '', 'photo': '', 'sex': '', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
63,https://www.ivi.ru//watch/493707,Легенды Орлёнка,2022,Россия,Фэнтези,8.2,Ольга Беляева,"{'id': 2430136, 'name': 'Ольга Беляева', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/b7ef3527-84d3-4c31-8dbb-9c73cdc14dfe/orig', 'sex': 'Женский', 'growth': 164, 'birthday': '1984-06-29T00:00:00.000Z', 'death': '', 'age': 40}",1984-06-29,
64,https://www.ivi.ru//watch/185849,Непрощенный,2018,Россия,Драмы,8.7,Сарик Андреасян,"{'id': 1627871, 'name': 'Сарик Андреасян', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/5feb3942-ae37-4a4b-a90d-29468bb0d846/orig', 'sex': 'Мужской', 'growth': 174, 'birthday': '1984-08-24T00:00:00.000Z', 'death': '', 'age': 40}",1984-08-24,
65,https://www.ivi.ru//watch/173997,Я худею,2018,Россия,Комедии,7.9,Алексей Нужный,"{'id': 1757983, 'name': 'Алексей Нужный', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10671298/4d143759-4f44-4308-b113-4d9b80eb0e9e/orig', 'sex': 'Мужской', 'growth': 182, 'birthday': '1984-06-16T00:00:00.000Z', 'death': '', 'age': 40}",1984-06-16,
66,https://www.ivi.ru//watch/187137,Невезучая,2017,Россия,Мелодрамы,6.9,Дмитрий Сорокин,"{'id': 5421902, 'name': 'Дмитрий Сорокин', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
67,https://www.ivi.ru//watch/191504,Осколки хрустальной туфельки,2015,Россия,Мелодрамы,5.9,Станислав Митин,"{'id': 1546031, 'name': 'Станислав Митин', 'enName': '', 'photo': 'https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/2c9f1aa1-f4f9-46a2-8745-37570c1385f3/orig', 'sex': 'Мужской', 'growth': 0, 'birthday': '1950-08-05T00:00:00.000Z', 'death': '2023-04-11T00:00:00.000Z', 'age': 72}",1950-08-05,2023-04-11
68,https://www.ivi.ru//watch/bitva-pap,Битва пап,2024,Россия,Комедии,6.7,Иван Архипов,"{'id': 5934216, 'name': 'Иван Архипов', 'enName': '', 'photo': '', 'sex': 'Мужской', 'growth': 0, 'birthday': '', 'death': '', 'age': 0}",,
